Municipio,PopulacaoResidente,Ano
Bertioga,64.723,2020
Cubatao,131.626,2020
Guaruja,322.750,2020
Itanhaem,103.102,2020
Mongagua,57.648,2020
Peruibe,69.001,2020
Praia Grande,330.845,2020
Santos,433.656,2020
Sao Vicente,368.355,2020
Bertioga,63.249,2019
Cubatao,130.705,2019
Guaruja,320.459,2019
Itanhaem,101.816,2019
Mongagua,56.702,2019
Peruibe,68.284,2019
Praia Grande,325.073,2019
Santos,433.311,2019
Sao Vicente,365.798,2019
Bertioga,61.736,2018
Cubatao,129.760,2018
Guaruja,318.107,2018
Itanhaem,100.496,2018
Mongagua,55.731,2018
Peruibe,67.548,2018
Praia Grande,319.146,2018
Santos,432.957,2018
Sao Vicente,363.173,2018
Bertioga,60.187,2017
Cubatao,128.792,2017
Guaruja,315.697,2017
Itanhaem,99.144,2017
Mongagua,54.737,2017
Peruibe,66.794,2017
Praia Grande,313.077,2017
Santos,432.594,2017
Sao Vicente,360.484,2017
Bertioga,58.638,2016
Cubatao,127.824,2016
Guaruja,313.288,2016
Itanhaem,97.792,2016
Mongagua,53.742,2016
Peruibe,66.040,2016
Praia Grande,307.008,2016
Santos,432.231,2016
Sao Vicente,357.796,2016
Bertioga,57.030,2015
Cubatao,126.819,2015
Guaruja,310.788,2015
Itanhaem,96.389,2015
Mongagua,52.711,2015
Peruibe,65.258,2015
Praia Grande,300.709,2015
Santos,431.854,2015
Sao Vicente,355.006,2015
Bertioga,55.364,2014
Cubatao,125.778,2014
Guaruja,308.198,2014
Itanhaem,94.935,2014
Mongagua,51.642,2014
Peruibe,64.448,2014
Praia Grande,294.184,2014
Santos,431.464,2014
Sao Vicente,352.115,2014
Bertioga,53.736,2013
Cubatao,124.761,2013
Guaruja,305.667,2013
Itanhaem,93.515,2013
Mongagua,50.597,2013
Peruibe,63.656,2013
Praia Grande,287.807,2013
Santos,431.083,2013
Sao Vicente,349.291,2013
Bertioga,52.109,2012
Cubatao,123.744,2012
Guaruja,303.137,2012
Itanhaem,92.095,2012
Mongagua,49.553,2012
Peruibe,62.864,2012
Praia Grande,281.433,2012
Santos,430.702,2012
Sao Vicente,346.467,2012
Bertioga,50.468,2011
Cubatao,122.719,2011
Guaruja,300.585,2011
Itanhaem,90.663,2011
Mongagua,48.499,2011
Peruibe,62.066,2011
Praia Grande,275.003,2011
Santos,430.318,2011
Sao Vicente,343.619,2011
Bertioga,48.842,2010
Cubatao,121.703,2010
Guaruja,298.057,2010
Itanhaem,89.244,2010
Mongagua,47.456,2010
Peruibe,61.275,2010
Praia Grande,268.635,2010
Santos,429.937,2010
Sao Vicente,340.798,2010
Bertioga,47.083,2009
Cubatao,120.604,2009
Guaruja,295.323,2009
Itanhaem,87.710,2009
Mongagua,46.327,2009
Peruibe,60.419,2009
Praia Grande,261.746,2009
Santos,429.525,2009
Sao Vicente,337.746,2009
Bertioga,45.310,2008
Cubatao,119.496,2008
Guaruja,292.565,2008
Itanhaem,86.162,2008
Mongagua,45.189,2008
Peruibe,59.557,2008
Praia Grande,254.798,2008
Santos,429.110,2008
Sao Vicente,334.669,2008
Bertioga,43.570,2007
Cubatao,118.409,2007
Guaruja,289.860,2007
Itanhaem,84.644,2007
Mongagua,44.073,2007
Peruibe,58.710,2007
Praia Grande,247.984,2007
Santos,428.703,2007
Sao Vicente,331.651,2007
Bertioga,41.855,2006
Cubatao,117.337,2006
Guaruja,287.192,2006
Itanhaem,83.147,2006
Mongagua,42.972,2006
Peruibe,57.876,2006
Praia Grande,241.263,2006
Santos,428.301,2006
Sao Vicente,328.673,2006
Bertioga,41.855,2005
Cubatao,117.337,2005
Guaruja,287.192,2005
Itanhaem,83.147,2005
Mongagua,42.972,2005
Peruibe,57.876,2005
Praia Grande,241.263,2005
Santos,428.301,2005
Sao Vicente,328.673,2005
Bertioga,38.259,2004
Cubatao,115.090,2004
Guaruja,281.601,2004
Itanhaem,80.009,2004
Mongagua,40.664,2004
Peruibe,56.126,2004
Praia Grande,227.177,2004
Santos,427.459,2004
Sao Vicente,322.434,2004
Bertioga,36.428,2003
Cubatao,113.946,2003
Guaruja,278.755,2003
Itanhaem,78.412,2003
Mongagua,39.489,2003
Peruibe,55.236,2003
Praia Grande,220.006,2003
Santos,427.030,2003
Sao Vicente,319.257,2003
Bertioga,34.577,2002
Cubatao,112.790,2002
Guaruja,275.877,2002
Itanhaem,76.797,2002
Mongagua,38.301,2002
Peruibe,54.335,2002
Praia Grande,212.756,2002
Santos,426.597,2002
Sao Vicente,316.046,2002
Bertioga,32.650,2001
Cubatao,111.586,2001
Guaruja,272.880,2001
Itanhaem,75.115,2001
Mongagua,37.065,2001
Peruibe,53.398,2001
Praia Grande,205.206,2001
Santos,426.145,2001
Sao Vicente,312.701,2001
